,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
796,NLE,NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,784.62,6,4.2096,,,,,,,,,,2.75,0.0,0.0,
797,NSH,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,750.4,7,3.031,11.4329,23.3089,28.443,,,,,,,4.0,0.0,0.0,
798,NLK,NUROL PORTFÖY KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,3970.0,7,3.8953,12.6985,,,,,,,,,0.75,0.0,0.0,
799,NME,NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,300.2,7,0.9587,8.7217,,,,,,,,,0.75,0.0,0.0,
800,NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1610.0,3,3.7298,12.0575,,,,,,,,,0.7,0.7,0.0,
801,NZU,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,86.61,7,2.732,6.7069,,,,,,,,,0.75,0.0,0.0,
802,PLR,OSMANLI PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,397.81,1,4.0014,,,,,,,,,,,,,
803,PAO,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,99.21,7,26.746,,,,,,,,,,2.0,0.0,0.0,
804,BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,129.49,7,18.5853,,,,,,,,,,2.0,0.0,0.0,
805,PPH,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,166.05,6,15.6445,27.656,,,,,,,,,2.0,0.0,0.0,
806,PBI,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,43.72,4,6.2707,16.3464,24.7097,29.2797,,,,,,,1.0,0.0,0.0,
807,PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,31.64,3,10.7674,18.4973,27.3732,,,,,,,,1.0,0.0,0.0,
808,PCE,PARDUS PORTFÖY İNCİ SERBEST FON,Serbest Şemsiye Fonu,154.33,7,,,,,,,,,,,1.5,0.0,0.0,
809,PKV,PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,16740.0,7,4.0852,13.1954,27.0202,,,,,,,,1.25,0.0,0.0,
810,PMP,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,90.04,7,10.749,,,,,,,,,,2.0,0.0,0.0,
811,POS,PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,147.58,7,16.0962,24.0185,14.8784,11.8667,,,,,,,2.0,0.0,0.0,
812,SRL,PARDUS PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,19.63,6,5.9948,,,,,,,,,,2.0,0.0,0.0,
813,PTO,PARDUS PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,13.47,6,4.8382,17.6156,,,,,,,,,2.0,0.0,0.0,
814,PYR,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,32.13,7,7.0174,,,,,,,,,,2.0,0.0,0.0,
815,PEA,PERFORM PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,217.88,6,2.6363,,,,,,,,,,1.825,1.825,0.0,
816,PTN,PHİLLİP PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,121.52,6,2.56,,,,,,,,,,2.1,2.1,0.0,
817,PHK,PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,37.98,6,7.1701,,,,,,,,,,2.5,2.5,0.0,
